"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000116","regulation of cysteine-type endopeptidase activity","2/5","220/28905",0.00909090909090909,52.5545454545454,10.0963856408593,0.000568030992036674,0.0030712337649684,0.000419854239913656,"S100a8/S100a9",2
"GO:0019730","antimicrobial humoral response","2/5","222/28905",0.00900900900900901,52.0810810810811,10.0493815575491,0.000578349215481062,0.0030712337649684,0.000419854239913656,"Ighg2b/S100a9",2
"GO:0030595","leukocyte chemotaxis","2/5","242/28905",0.00826446280991736,47.7768595041322,9.61153998722551,0.000686552674272867,0.00352430372793405,0.000481791350366924,"S100a8/S100a9",2
"GO:0097529","myeloid leukocyte migration","2/5","255/28905",0.00784313725490196,45.3411764705882,9.35470386410817,0.000761768479680436,0.0037842692216383,0.000517330037134422,"S100a8/S100a9",2
"GO:0002221","pattern recognition receptor signaling pathway","2/5","267/28905",0.00749063670411985,43.3033707865169,9.13427993766613,0.000834602630369734,0.00392207496190494,0.000536168825961031,"S100a8/S100a9",2
"GO:0002791","regulation of peptide secretion","2/5","270/28905",0.00740740740740741,42.8222222222222,9.08145528129093,0.000853320778604332,0.00392207496190494,0.000536168825961031,"S100a8/S100a9",2
"GO:0090087","regulation of peptide transport","2/5","272/28905",0.00735294117647059,42.5073529411765,9.04671936312112,0.000865912653927065,0.00392207496190494,0.000536168825961031,"S100a8/S100a9",2
"GO:0002758","innate immune response-activating signaling pathway","2/5","278/28905",0.00719424460431655,41.589928057554,8.94474194217818,0.000904230781974088,0.00397861544068599,0.000543898214721256,"S100a8/S100a9",2
"GO:0010001","glial cell differentiation","2/5","293/28905",0.0068259385665529,39.4607508532423,8.70347158137452,0.0010035804426647,0.00429309411584345,0.000586889147757135,"S100a8/S100a9",2
"GO:0002218","activation of innate immune response","2/5","303/28905",0.0066006600660066,38.1584158415842,8.55254481986067,0.00107262822479217,0.00446445261129714,0.000610314779398105,"S100a8/S100a9",2
"GO:0002790","peptide secretion","2/5","330/28905",0.00606060606060606,35.0363636363636,8.17941154926502,0.00127026298077994,0.00491246647645757,0.000671560693979162,"S100a8/S100a9",2
"GO:0060326","cell chemotaxis","2/5","334/28905",0.00598802395209581,34.6167664670659,8.12795901512373,0.00130092903234134,0.00491246647645757,0.000671560693979162,"S100a8/S100a9",2
"GO:0052548","regulation of endopeptidase activity","2/5","336/28905",0.00595238095238095,34.4107142857143,8.10257266870251,0.00131639595030062,0.00491246647645757,0.000671560693979162,"S100a8/S100a9",2
"GO:0097193","intrinsic apoptotic signaling pathway","2/5","338/28905",0.00591715976331361,34.207100591716,8.07740847173473,0.0013319520785231,0.00491246647645757,0.000671560693979162,"S100a8/S100a9",2
"GO:0006959","humoral immune response","2/5","339/28905",0.00589970501474926,34.1061946902655,8.06490865727973,0.00133976358448843,0.00491246647645757,0.000671560693979162,"Ighg2b/S100a9",2
"GO:0015833","peptide transport","2/5","351/28905",0.0056980056980057,32.9401709401709,7.91903699447358,0.00143523876216807,0.00514015742729961,0.000702687276459277,"S100a8/S100a9",2
"GO:0045862","positive regulation of proteolysis","2/5","357/28905",0.00560224089635854,32.3865546218487,7.84883074391351,0.00148417732370756,0.00519462063297646,0.000710132690769168,"S100a8/S100a9",2
"GO:0016068","type I hypersensitivity","1/5","10/28905",0.1,578.1,24.0079335286734,0.00172872759241105,0.00574169001509266,0.000784920029404328,"Ighg2b",1
"GO:0042886","amide transport","2/5","386/28905",0.00518134715025907,29.9533678756477,7.53252617068204,0.00173196256374969,0.00574169001509266,0.000784920029404328,"S100a8/S100a9",2
"GO:0042063","gliogenesis","2/5","397/28905",0.00503778337531486,29.1234256926952,7.4215591653068,0.00183081029827458,0.00574169001509266,0.000784920029404328,"S100a8/S100a9",2
"GO:0032496","response to lipopolysaccharide","2/5","402/28905",0.00497512437810945,28.7611940298507,7.37260449532338,0.00187662190095043,0.00574169001509266,0.000784920029404328,"S100a8/S100a9",2
"GO:0050900","leukocyte migration","2/5","402/28905",0.00497512437810945,28.7611940298507,7.37260449532338,0.00187662190095043,0.00574169001509266,0.000784920029404328,"S100a8/S100a9",2
"GO:0045089","positive regulation of innate immune response","2/5","404/28905",0.00495049504950495,28.6188118811881,7.35327283894374,0.0018951004842947,0.00574169001509266,0.000784920029404328,"S100a8/S100a9",2
"GO:0002536","respiratory burst involved in inflammatory response","1/5","11/28905",0.0909090909090909,525.545454545455,22.8870960080222,0.00190146877123198,0.00574169001509266,0.000784920029404328,"S100a9",1
"GO:0002237","response to molecule of bacterial origin","2/5","422/28905",0.004739336492891,27.3981042654028,7.18540340585154,0.0020653591061013,0.0061166404296077,0.000836177775749514,"S100a8/S100a9",2
"GO:0002833","positive regulation of response to biotic stimulus","2/5","431/28905",0.00464037122969838,26.8259860788863,7.10536450924973,0.0021531500042808,0.00613984854901574,0.000839350450993266,"S100a8/S100a9",2
"GO:0052547","regulation of peptidase activity","2/5","434/28905",0.00460829493087558,26.6405529953917,7.07922876276773,0.00218280709046738,0.00613984854901574,0.000839350450993266,"S100a8/S100a9",2
"GO:2001233","regulation of apoptotic signaling pathway","2/5","436/28905",0.00458715596330275,26.5183486238532,7.06195197541212,0.00220268766304801,0.00613984854901574,0.000839350450993266,"S100a8/S100a9",2
"GO:0051047","positive regulation of secretion","2/5","439/28905",0.00455580865603645,26.3371298405467,7.03625401786585,0.00223267219964209,0.00613984854901574,0.000839350450993266,"S100a8/S100a9",2
"GO:0007159","leukocyte cell-cell adhesion","2/5","445/28905",0.00449438202247191,25.9820224719101,6.98562402027567,0.00229323004275065,0.00619574432602808,0.000846991705540407,"S100a8/S100a9",2
"GO:0006935","chemotaxis","2/5","465/28905",0.0043010752688172,24.8645161290323,6.82384838017999,0.00250074723687888,0.0065442284184987,0.000894631362747601,"S100a8/S100a9",2
"GO:0042330","taxis","2/5","467/28905",0.00428265524625268,24.7580299785867,6.80823278218658,0.00252197671323619,0.0065442284184987,0.000894631362747601,"S100a8/S100a9",2
"GO:0002697","regulation of immune effector process","2/5","473/28905",0.00422832980972516,24.4439746300211,6.76196880564645,0.00258618527124838,0.0065442284184987,0.000894631362747601,"Ighg2b/S100a9",2
"GO:0002679","respiratory burst involved in defense response","1/5","15/28905",0.0666666666666667,385.4,19.5871068596188,0.00259219437356117,0.0065442284184987,0.000894631362747601,"S100a9",1
"GO:0002757","immune response-activating signaling pathway","2/5","486/28905",0.00411522633744856,23.7901234567901,6.66462121894295,0.00272797622223053,0.00661746254037305,0.000904642862662072,"S100a8/S100a9",2
"GO:0045088","regulation of innate immune response","2/5","486/28905",0.00411522633744856,23.7901234567901,6.66462121894295,0.00272797622223053,0.00661746254037305,0.000904642862662072,"S100a8/S100a9",2
"GO:0051345","positive regulation of hydrolase activity","2/5","488/28905",0.0040983606557377,23.6926229508197,6.6499832224837,0.0027501143024927,0.00661746254037305,0.000904642862662072,"S100a8/S100a9",2
