"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
0.00265701061073653,1.03215109463012,0.121,0.058,1,"Ifi214","Monocytes","Not Significant"
0.00266758356131062,0.594470335135065,0.203,0.12,1,"Pex16","Monocytes","Not Significant"
0.00266841588455585,0.718289969593182,0.359,0.259,1,"Slc16a3","Monocytes","Not Significant"
0.00267174460836491,0.576175308137249,0.167,0.093,1,"Prr11","Monocytes","Not Significant"
0.00267504949348061,0.441806210417786,0.443,0.335,1,"Sumo3","Monocytes","Not Significant"
0.00269099284573935,0.471654148012025,0.23,0.14,1,"Nelfcd","Monocytes","Not Significant"
0.00269930934292247,-0.341752733586154,0.697,0.703,1,"Ddx6","Monocytes","Not Significant"
0.00270212166940373,0.257340649034602,0.852,0.793,1,"Slfn2","Monocytes","Not Significant"
0.00272628678471917,0.39382967972537,0.574,0.478,1,"Arpc1a","Monocytes","Not Significant"
0.00273641562895619,0.656362940097085,0.332,0.23,1,"Parp11","Monocytes","Not Significant"
0.00276773706380872,0.303563652063377,0.816,0.752,1,"Ptpn18","Monocytes","Not Significant"
0.0027778605189459,0.351211809253087,0.823,0.761,1,"Ifi203","Monocytes","Not Significant"
0.00279774984259085,0.298877431305767,0.263,0.169,1,"Anapc15","Monocytes","Not Significant"
0.00282942117263536,0.511718865697199,0.34,0.233,1,"Rae1","Monocytes","Not Significant"
0.00284831989196949,0.510528290165973,0.267,0.172,1,"Nmral1","Monocytes","Not Significant"
0.00285707875246786,0.329880534579623,0.601,0.493,1,"Sp140","Monocytes","Not Significant"
0.00287423269813485,0.466909707341455,0.574,0.516,1,"Nucks1","Monocytes","Not Significant"
0.00287837721286993,0.886327235022182,0.23,0.146,1,"Rem1","Monocytes","Not Significant"
0.00289013649335268,-0.299760488809812,0.879,0.878,1,"Marchf1","Monocytes","Not Significant"
0.00289240695268503,-0.631291865469627,0.453,0.504,1,"Kidins220","Monocytes","Not Significant"
0.00289971832051823,-0.374156799094851,0.678,0.738,1,"Rere","Monocytes","Not Significant"
