"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","sig"
0.00184465611609562,0.773086550774747,0.315,0.189,1,"Mlf2","T cells","Not Significant"
0.00184640399685427,0.680650991051287,0.286,0.154,1,"Timm17b","T cells","Not Significant"
0.00185874200641564,1.00031940763286,0.152,0.057,1,"Urm1","T cells","Not Significant"
0.00186365604026261,0.918980687890021,0.276,0.154,1,"Mri1","T cells","Not Significant"
0.0018802679395651,0.54397754792487,0.499,0.371,1,"Ndufb10","T cells","Not Significant"
0.00190288709564926,0.363715403792767,0.598,0.44,1,"Eomes","T cells","Not Significant"
0.00195404471273534,-1.03818733215475,0.302,0.4,1,"Cert1","T cells","Not Significant"
0.00199736821058607,0.479305206527587,0.325,0.194,1,"Snrpb2","T cells","Not Significant"
0.0020023046987458,1.37731198051469,0.126,0.04,1,"Hyi","T cells","Not Significant"
0.00200960262168523,1.20706223433533,0.199,0.091,1,"Trmt13","T cells","Not Significant"
0.00202495568744227,0.475139698064124,0.402,0.257,1,"Ap2m1","T cells","Not Significant"
0.0020250996876435,1.26769215736554,0.165,0.069,1,"Ppwd1","T cells","Not Significant"
0.00204064157405387,1.6844677640513,0.139,0.051,1,"Mrps10","T cells","Not Significant"
0.00205296789482114,0.575212912922786,0.352,0.211,1,"Wdr82","T cells","Not Significant"
0.00206378547314864,1.12994150916024,0.181,0.08,1,"Gba","T cells","Not Significant"
0.00207778414809185,-0.856532951316426,0.312,0.434,1,"Prkce","T cells","Not Significant"
0.00208534108825671,-1.05494541748529,0.197,0.303,1,"Akap11","T cells","Not Significant"
0.00208932828393029,-0.892185653145907,0.268,0.377,1,"Tlk2","T cells","Not Significant"
0.00209004085522934,-1.15672830289673,0.102,0.194,1,"Kdm4d","T cells","Not Significant"
0.0020950111972263,0.404503837962239,0.714,0.629,1,"Sec61g","T cells","Not Significant"
0.0021046053035458,-1.73978429245542,0.037,0.103,1,"Ggta1","T cells","Not Significant"
0.00211529104864835,-0.54852360062266,0.575,0.663,1,"Msi2","T cells","Not Significant"
0.00213213619558846,0.656860845153519,0.257,0.137,1,"Ubl4a","T cells","Not Significant"
0.00214734982688177,-0.86467643510963,0.52,0.629,1,"Fbxl17","T cells","Not Significant"
0.00215049989365589,1.4190632841578,0.108,0.029,1,"Serhl","T cells","Not Significant"
0.00215254035671175,0.91720571925562,0.165,0.069,1,"Bmpr1a","T cells","Not Significant"
0.00216154410613363,-1.0840975453593,0.084,0.171,1,"Tmem63a","T cells","Not Significant"
0.00218744598699366,-1.35680422737372,0.134,0.229,1,"Pgd","T cells","Not Significant"
0.00219329548644647,-1.83332431448789,0.157,0.269,1,"Xcl1","T cells","Not Significant"
0.0022044930428441,1.93626351810437,0.105,0.029,1,"Rbmx2","T cells","Not Significant"
0.00220683773643632,0.844259536233228,0.318,0.194,1,"Ciao2b","T cells","Not Significant"
0.00221656134383972,0.502673980522518,0.633,0.491,1,"Psmb10","T cells","Not Significant"
0.00222593619721562,0.260767750387669,0.9,0.834,1,"Rpl15","T cells","Not Significant"
0.002257597331363,0.308802494646378,0.709,0.583,1,"Tspo","T cells","Not Significant"
0.00226797938033107,0.391360864590321,0.724,0.589,1,"Prdx1","T cells","Not Significant"
0.00228053342560871,1.22328126923377,0.176,0.074,1,"App","T cells","Not Significant"
0.00228688762015748,1.77672810028425,0.123,0.04,1,"Bpgm","T cells","Not Significant"
0.00229746306558796,0.54207441960271,0.381,0.24,1,"Dbi","T cells","Not Significant"
0.00230467369072839,0.465244533385298,0.533,0.377,1,"Eif2s2","T cells","Not Significant"
0.0023058695094261,0.290790921298989,0.451,0.303,1,"Ccng1","T cells","Not Significant"
0.00230627728451498,-0.41329560242276,0.856,0.857,1,"Macf1","T cells","Not Significant"
0.00230906972684703,0.287783441299624,0.908,0.8,1,"Rpl5","T cells","Not Significant"
0.00231181530455606,-0.89438630434739,0.373,0.469,1,"Arhgap25","T cells","Not Significant"
0.0023382533966772,1.15786820223695,0.147,0.057,1,"Acd","T cells","Not Significant"
0.00235403084535783,1.4578180486809,0.147,0.057,1,"Bbc3","T cells","Not Significant"
0.0023633351214404,-1.17483772223379,0.1,0.189,1,"Dennd4b","T cells","Not Significant"
0.00237295086160428,0.843315584603714,0.134,0.046,1,"H2-T24","T cells","Not Significant"
0.00238183242448241,-1.0676552491502,0.084,0.171,1,"Tnfrsf9","T cells","Not Significant"
0.00241570529575527,1.06134016527188,0.194,0.091,1,"Elof1","T cells","Not Significant"
0.00251834562188758,0.971027999510127,0.178,0.08,1,"Gpr108","T cells","Not Significant"
0.00254938699613121,0.256817578977544,0.738,0.594,1,"Ltb","T cells","Not Significant"
0.00256313855316465,0.759414779418496,0.268,0.143,1,"Relb","T cells","Not Significant"
0.00256679044935548,-0.889683847785544,0.394,0.486,1,"Ap3b1","T cells","Not Significant"
0.00258502453830901,1.02435099266685,0.205,0.097,1,"Ccr7","T cells","Not Significant"
0.002600453047191,-0.436936127941833,0.785,0.783,1,"Tnrc6b","T cells","Not Significant"
0.00260055394161912,0.652306897088244,0.312,0.183,1,"Fcf1","T cells","Not Significant"
0.00263498332561246,0.298345839244901,0.604,0.474,1,"Ndufv3","T cells","Not Significant"
0.00264614811630268,1.17028421777537,0.165,0.069,1,"Snx9","T cells","Not Significant"
0.00265923156358444,0.327924437291877,0.714,0.531,1,"Ppib","T cells","Not Significant"
